Admin;Admin@mphasis.com;P4ssword
Andrea;Andrea@mphasis.com;P4ssword
Andy;Andy@mphasis.com;P4ssword
Ann;Ann@mphasis.com;P4ssword
Audrey;Audrey@mphasis.com;P4ssword
Batch;Batch@mphasis.com;P4ssword
Bess;Bess@mphasis.com;P4ssword
Bridgit;Bridgit@mphasis.com;P4ssword
Chris;Chris@mphasis.com;P4ssword
Christina;Christina@mphasis.com;P4ssword
Dany;Dany@mphasis.com;P4ssword
David;David@mphasis.com;P4ssword
Didier;Didier@mphasis.com;P4ssword
Franck;Franck@mphasis.com;P4ssword
George;George@mphasis.com;P4ssword
Grant;Grant@mphasis.com;P4ssword
Jack;Jack@mphasis.com;P4ssword
James;James@mphasis.com;P4ssword
Jason;Jason@mphasis.com;P4ssword
Jennifer;Jennifer@mphasis.com;P4ssword
Jessica;Jessica@mphasis.com;P4ssword
John;John@mphasis.com;P4ssword
Joseph;Joseph@mphasis.com;P4ssword
Joshua;Joshua@mphasis.com;P4ssword
Judy;Judy@mphasis.com;P4ssword
Junior Underwriter;Junior_Underwrite@mphasis.com;P4ssword
Laura;Laura@mphasis.com;P4ssword
Lauren;Lauren@mphasis.com;P4ssword
Laurie;Laurie@mphasis.com;P4ssword
Lorena;Lorena@mphasis.com;P4ssword
Mary Joe;Mary_Joe@mphasis.com;P4ssword
Matthiew;Matthiew@mphasis.com;P4ssword
Michael;Michael@mphasis.com;P4ssword
Michele;Michele@mphasis.com;P4ssword
Nancy;Nancy@mphasis.com;P4ssword
Nathan;Nathan@mphasis.com;P4ssword
Report;Report@mphasis.com;P4ssword
Ricardo;Ricardo@mphasis.com;P4ssword
Ruth;Ruth@mphasis.com;P4ssword
Sandrine;Sandrine@mphasis.com;P4ssword
Sarah;Sarah@mphasis.com;P4ssword
Senior Underwriter;Senior_Underwrite@mphasis.com;P4ssword
Servicing;Servicing@mphasis.com;P4ssword
Sharon;Sharon@mphasis.com;P4ssword
Sophie;Sophie@mphasis.com;P4ssword
Steve;Steve@mphasis.com;P4ssword
Super admin;Super_admin@mphasis.com;P4ssword
Super manager;Super_manager@mphasis.com;P4ssword
Thomas;Thomas@mphasis.com;P4ssword
Tina;Tina@mphasis.com;P4ssword
VIP Claim Manager;VIP_Claim_Manager@mphasis.com;P4ssword
VIP Claim Payer;VIP_Claim_Payer@mphasis.com;P4ssword
VIP Claim Specialist;VIP_Claim_Special@mphasis.com;P4ssword
VIP Customer Specialist;VIP_Customer_Spec@mphasis.com;P4ssword
VIP Employee Enrollment Specialist;VIP_Employee_Enro@mphasis.com;P4ssword
VIP Group Contract Specialist;VIP_Group_Contrac@mphasis.com;P4ssword
VIP Group Quote Specialist;VIP_Group_Quote_S@mphasis.com;P4ssword
VIP Individual Maintenance Specialist;VIP_Individual_Ma@mphasis.com;P4ssword
VIP Individual Policy Setup Specialist;VIP_Individual_Po@mphasis.com;P4ssword
VIP Individual Quote Specialist;VIP_Individual_Qu@mphasis.com;P4ssword
VIP LE Maintenance Specialist;VIP_LE_Maintenanc@mphasis.com;P4ssword
VIP LE Quote Specialist;VIP_LE_Quote_Spec@mphasis.com;P4ssword
William;William@mphasis.com;P4ssword
eWam User1;eWam_User1@mphasis.com;P4ssword
