Network;Name;Firstname;Title;m/f;DOB;marital status;Address;PROVINCE/etats;Zip code;City;Country;CONTACT
Front Office;Raynald;Barthelemie;M.;Male;01/13/1976;Single;2241 Rue Saint-Adrien;QC;G7S4A8;Jonquieres;CAN;(514) 989-7674      
Front Office;Barthelet;René;M.;Male;07/12/1944;Domestic partner;87 Merrill Ave E;ON;M4C 1C6;Toronto;CAN;(905) 457-0759      
Front Office;Berry;Joseph;M.;Male;06/02/1954;Married;68 Louth St;;L2S 3X2;St Catharine;CAN;(705) 594-1332      
Front Office;Perry;Carolina;Miss;Female;04/12/1945;Married;123 Nottingham Dr;NB;;Rothesay;CAN;(506) 216-5291      
Front Office;English;Robert;M.;Male;4/25/1945;Widowed;2165 Country Club Dr;ON;L7M 4H4;Burlington;CAN;(905) 331-4545      
Front Office;Del Zoppo;Andréa;Miss;Female;12/15/1948;Married;1 Bridgeview Dr;NS;B3P 0A1;Halifax;CAN;(902) 422-9037      
Front Office;Traverse;Tina;Mrs;Female;12/15/1950;Married;37 Uplands Rd;NL;NL A1W 4T8;Conception Bay South;CAN;(709) 834-5970      
Front Office;Trembletta;Dorine;Mrs;Female;12/08/1968;Divorced;710 2nd St;SK;S4A 2B3;Estevan;CAN;(306) 636-2395      
Front Office;Macdonald;Glenn;M.;Male;11/30/1944;Married;25012 th Apt 110 Ave;ON;N4N 2S9;Hanover;CAN;(519) 364-6730      
Front Office;Noble;Dwayne;M.;Male;12/08/1947;Single;65 Dell Rd;BC; V1X 3P7;Kelowna;CAN;(250) 868-3438      
Front Office;Cadden;Heather;Mrs;Female;11/30/1952;Domestic partner;320 Crichton St;ON; K1M1W5;Ottawa;CAN;(613) 740-1707      
Front Office;Pajuro;Viny;M.;Male;07/05/1956;Married;815 23 St N;AB;T1H 3S8;Lethbridge;CAN;(403) 327-3142      
Front Office;Wallf;Eleonora;Mrs;Female;1/15/1959;Divorced;1847 Stonepath Cres;ON;L4X 1Y1;Mississauga;CAN;905) 274-6240      
Front Office;Uzielli;Tony;M.;Male;6/18/1967;Single;90 Rue Guy;QC; H3J 1T4;Montréal;CAN;(514) 989-7714      
Front Office;Delacourt;Jim;M.;Male;6/19/1968;Married;204-1571 Bellevue Ave, West ;BC;V7V1A6;Vancouver;CAN;604-922-7632      
Front Office;Pace;Brian;M.;Male;3/31/1961;Divorced;2387 Argue St 24;BC;V3C 6P5;Port Coquitlam;CAN;(604) 944-0885      
Front Office;Gills;Pandora;M.;Male;05/10/1976;Married;89 Louisville Rd;NS;;River John;CAN;(902) 351-2556      
Front Office;Yundt;Corey;M.;Male;8/20/1978;Domestic partner;605 Maliseet Dr;NB;E3A 5R7;Fredericton;CAN;(506) 455-7347      
Front Office;Williams;Juanita;Miss;Female;3/19/1971;Single;137 Hoskins Rd;NB;;Woodstock;CAN;(506) 455-5747      
Front Office;Jacks;Henry;M.;Male;1/29/1981;Domestic partner;73 Girdwood Cres;MB; R2K 3T6;Winnipeg;CAN;(204) 661-5463      
