Network;Name;Firstname;Title;m/f;DOB;marital status;Address;PROVINCE/etats;Zip code;City;Country;CONTACT;Cell Phone
Front Office;Keane ;Tina;Mrs;Female;01/13/1976;Single;101 E Lake Ave;MD;21212;Baltimore;USA;(742) 263-5161;(742) 263-5060
Front Office;Wendler;Jack;M.;Male;07/12/1954;Domestic partner;20 N State St Apt 707;IL;60602;Chicago;USA;(307) 633-4383;(307) 633-4382
Front Office;Peyton Jones;Julia;Miss;Female;06/02/1954;Married;7101 W Yale Ave, Unit 101;CO;80227;Denver;USA;(307) 633-4383;(307) 633-4393
Front Office;Gardner;Dorothy;Miss;Female;04/12/1965;Married;455 Old Highway 8 SW, Apt 303;MN;55112;Saint Paul;USA;(843) 572-8779;(843) 572-8780
Front Office;Alison;James;M.;Male;4/25/1956;Married;Columbia Avenue;VA;23669;Hampton;USA;(732) 263-0151;(732) 264-0152
Front Office;Asley;Tony;M.;Male;12/15/1978;Married;1 Knollwood Ct;NM;88203;Roswell;USA;(575) 622-3491;(575) 622-3492
Front Office;Austin;Elaine;Mrs;Female;12/15/1950;Married;3911 Mewswood Ln;KY;42211;Cadiz;USA;(270) 522-9957;(270) 522-9958
Front Office;Barret;Ann;Mrs;Female;12/08/1968;Divorced;211 E 2nd St;NY;10173;New York;USA;(913) 721-3708;(913) 721-3709
Front Office;Clay;Stephany;Mrs;Female;11/30/1984;Married;108 Columbia Ave;VA;23602;Newport News;USA;(307) 633-4383;(307) 633-4384
Front Office;Edwards;Vicky;Mrs;Female;12/08/1997;Single;60 Academy Ct;MD;20872;Damascus;USA;(301) 253-6425;(301) 253-6426
Front Office;Harper;Susan;Mrs;Female;11/30/1952;Domestic partner;2024 Emery St;NV;89523;Reno;USA;(775) 747-2706;(775) 747-2707
Front Office;Harris;Carolyn;Mrs;Female;07/05/1956;Married;2725 Walbrook Ave,;FL;32219;Jacksonville;USA;(904) 768-4101;(904) 768-4102
Front Office;Hayes;Bret;M.;Male;1/15/1959;Divorced;15295 Callaway Ct;KS;66109;Kansas City;USA;(913) 721-3708;(913) 721-3709
Front Office;Hemphrey;Lorraine;Mrs;Female;6/18/1967;Single;633 Holly Bush Ct;WY;82930;Evanston;USA;(732) 263-0151;(732) 263-0152
Front Office;Mcguire;Georgina;Mrs;Female;6/19/1968;Married;1873 Marlton Pike E,;SC;29445;Goose Creek;USA;(843) 572-8779;(843) 572-8780
Front Office;Morton;Stuart;M.;Male;3/31/1961;Divorced;10029 Garden Lake Ct;OH;45505;Springfield;USA;(937) 322-8500;(937) 322-8501
Front Office;Palmer;Stephen;M.;Male;05/10/1976;Married;9820 Russett Wood Cir;WI;53204;Milwaukee;USA;(414) 760-3060;(414) 760-3061
Front Office;Pank;Victoria;Mrs;Female;8/20/1978;Domestic partner;94 Watson Dr;NV;89002;Henderson;USA;(702) 456-4913;(702) 456-4914
Front Office;Perry;Emma;Miss;Female;3/19/1971;Single;28381 Rancho de Linda ;CA;92677;laguna niguel;USA;(949) 495-1032;(949) 495-1033
