Name;FirstName;BirthDate;Address_Line1;Address_Line2;Address_ZipCode;Address_City;Address_Country;Address_State;SSN;MaritalStatus;BirthRank;AttachedToAnOtherSSN;Classifications;BankAccount_Name;BankAccount_EffectiveDate;BankAccount_EndDate;BankAccount_AccountType;BankAccount_Address_Line1;BankAccount_Address_Line2;BankAccount_Address_ZipCode;BankAccount_Address_City;BankAccount_Address_Country;BankAccount_Address_State;BankAccount_AccountHolderName;BankAccount_DepositType;BankAccount_Currency;BankAccount_AccountNumber;BankAccount_RoutingNumber;BankAccount_PrenoteCompleted;BankAccount_Validated;LE;MemberId;HireDate;WorksiteState;TerminationDate;TerminationReason;EmploymentStatus;BaseSalaryAmount;BaseSalaryFrequency;WorkingHours;WorkingHoursDefinedForFrequency;WorkingCategory;SalaryCommissionAmount;SalaryCommissionFrequency;SalaryBonusAmount;SalaryBonusFrequency
Collora;Holley;01011970;1234 Main Street;;06123;Hartford;USA;CT;776696421;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;1;01012005;CT;;;Active;75000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Claman;Kristofer;02081964;12 Main Street;;06123;Hartford;USA;CT;674113391;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;2;01031993;CT;;;Active;150000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Kruiboesch;Emmy;05101972;1 Main Street;;06123;Hartford;USA;CT;439796321;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;3;06302007;CT;;;Active;50000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Isenbarger;Marleen;03121980;2 Main Street;;06123;Hartford;USA;CT;549357112;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;4;10152006;CT;;;Active;50000;Annually;40;Weekly;Full time;0;Annually;12000;Annually
Bardoner;Hosea;03121980;3 Main Street;;06123;Hartford;USA;CT;394275393;Single;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;5;10152006;CT;;;Active;50000;Annually;40;Weekly;Full time;15000;Annually;0;Annually
Lancz;Ezequiel;09231963;4 Main Street;;06123;Hartford;USA;CT;197657371;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;6;01012005;CT;;;Active;50000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Blailock;Leandro;03191954;55 Kansas Ave;;LCR-039;Oakville;CAN;ON;797149593;Single;2;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;7;01011970;;;;Active;60000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Brombach;Ellsworth;06151959;5 Main Street;;06123;Hartford;USA;CT;185266248;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;8;01011980;CT;;;Active;62150;Annually;40;Weekly;Full time;0;Annually;0;Annually
Osentowski;Clementina;09101964;11 Broadway;;06123;Hartford;USA;CT;621699119;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;9;01012007;CT;;;Active;65000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Bachas;Chin;12071969;17 Broadway;;06123;Hartford;USA;CT;742543485;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;10;01012007;CT;;;Active;67850;Annually;40;Weekly;Full time;0;Annually;0;Annually
