MemberId;GBPId;OptionId;CoverageAmount;Classifications;EffectiveDate;BillingInfo;CoveredPerson1_Name;CoveredPerson1_SSN;CoveredPerson1_BirthDate;CoveredPerson1_Classification;CoveredPerson1_EffectiveDate;CoveredPerson1_EndDate;CoveredPerson_FirstName;CoveredPerson_MaritalStatus;CoveredPerson_Classification;CoveredPerson2_Name;CoveredPerson2_SSN;CoveredPerson2_BirthDate;CoveredPerson2_Classification;CoveredPerson2_EffectiveDate;CoveredPerson2_EndDate;CoveredPerson2_FirstName;CoveredPerson2_MaritalStatus;CoveredPerson2_Classification;CoveredPerson3_Name;CoveredPerson3_SSN;CoveredPerson3_BirthDate;CoveredPerson3_Classification;CoveredPerson3_EffectiveDate;CoveredPerson3_EndDate;CoveredPerson3_FirstName;CoveredPerson3_MaritalStatus;CoveredPerson3_Classification;CoveredPerson4_Name;CoveredPerson4_SSN;CoveredPerson4_BirthDate;CoveredPerson4_Classification;CoveredPerson4_EffectiveDate;CoveredPerson4_EndDate;CoveredPerson4_FirstName;CoveredPerson4_MaritalStatus;CoveredPerson4_Classification;CoveredPerson5_Name;Covere
1;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;Additional Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;Group Life;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;Long Term Disability;;Manager,Monthly Salaried,EE Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;Group Life;;Manager,Monthly Salaried,EE Only;
8;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
8;;Additional Group Life;;Manager,Monthly Salaried,EE Only;
9;;Group Life;;Manager,Monthly Salaried,EE Only;
9;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
9;;Additional Group Life;;Manager,Monthly Salaried,EE Only;
10;;Group Life;;Manager,Monthly Salaried,EE Only;
10;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
11;;Group Life;;Manager,Monthly Salaried,EE Only;
11;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
12;;Group Life;;Manager,Monthly Salaried,EE Only;
12;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
13;;Group Life;;Manager,Monthly Salaried,EE Only;
13;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
14;;Group Life;;Manager,Monthly Salaried,EE Only;
14;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
15;;Group Life;;Manager,Monthly Salaried,EE Only;
15;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
15;;Additional Group Life;;Manager,Monthly Salaried,EE Only;
16;;Group Life;;Manager,Monthly Salaried,EE Only;
16;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
16;;Additional Group Life;;Manager,Monthly Salaried,EE Only;
17;;Group Life;;Manager,Monthly Salaried,EE Only;
17;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
18;;Group Life;;Manager,Monthly Salaried,EE Only;
18;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
19;;Group Life;;Manager,Monthly Salaried,EE Only;
19;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
20;;Group Life;;Manager,Monthly Salaried,EE Only;
20;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
21;;Group Life;;Manager,Monthly Salaried,EE Only;
21;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
22;;Group Life;;Manager,Monthly Salaried,EE Only;
22;;Long Term Disability;;Manager,Monthly Salaried,EE Only;
23;;Group Life;;Non Manager,Monthly Salaried,EE Only;
23;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
24;;Group Life;;Non Manager,Monthly Salaried,EE Only;
24;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
25;;Group Life;;Non Manager,Monthly Salaried,EE Only;
25;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
25;;Additional Group Life;;Non Manager,Monthly Salaried,EE Only;
26;;Group Life;;Non Manager,Monthly Salaried,EE Only;
26;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
27;;Group Life;;Non Manager,Monthly Salaried,EE Only;
27;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
27;;Additional Group Life;;Non Manager,Monthly Salaried,EE Only;
28;;Group Life;;Non Manager,Monthly Salaried,EE Only;
28;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
28;;Additional Group Life;;Non Manager,Monthly Salaried,EE Only;
29;;Group Life;;Non Manager,Monthly Salaried,EE Only;
29;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
30;;Group Life;;Non Manager,Monthly Salaried,EE Only;
30;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
30;;Group AD&D;;Non Manager,Monthly Salaried,EE Only;
31;;Group Life;;Non Manager,Monthly Salaried,EE Only;
31;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
32;;Group Life;;Non Manager,Monthly Salaried,EE Only;
32;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
33;;Group Life;;Non Manager,Monthly Salaried,EE Only;
33;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
33;;Additional Group Life;;Non Manager,Monthly Salaried,EE Only;
33;;Group AD&D;;Non Manager,Monthly Salaried,EE Only;
34;;Group Life;;Non Manager,Monthly Salaried,EE Only;
34;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
35;;Group Life;;Non Manager,Monthly Salaried,EE Only;
35;;Long Term Disability;;Non Manager,Monthly Salaried,EE Only;
35;;Additional Group Life;;Non Manager,Monthly Salaried,EE Only;
35;;Group AD&D;;Non Manager,Monthly Salaried,EE Only;
