Name;FirstName;BirthDate;Address_Line1;Address_Line2;Address_ZipCode;Address_City;Address_Country;SSN;MaritalStatus;BirthRank;AttachedToAnOtherSSN;BankAccount_Name;BankAccount_EffectiveDate;BankAccount_EndDate;BankAccount_AccountType;BankAccount_Address_Line1;BankAccount_Address_Line2;BankAccount_Address_ZipCode;BankAccount_Address_City;BankAccount_Address_Country;BankAccount_AccountHolderName;BankAccount_DepositType;BankAccount_Currency;LE;MemberId;HireDate;TerminationDate;TerminationReason;EmploymentStatus;BaseSalaryAmount;BaseSalaryFrequency;WorkingHours;WorkingHoursDefinedForFrequency;WorkingCategory;SalaryCommissionAmount;SalaryCommissionFrequency;SalaryBonusAmount;SalaryBonusFrequency
Wills;Danny;08121965;8035 Lexington Avenue;;10015;NEW YORK;USA;226482200;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Wills Danny;;USD;Bookstore;7736F7;08121988;;;active;30000;annual;39;weekly;full time;;;;
Steadman;Luke;03241976;35 Lexington Avenue;2A;10015;NEW YORK;USA;298272209;married;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Steadman Luke;;USD;Bookstore;8825K1;04121999;;;active;50000;annual;39;weekly;full time;300;annual;4000;monthly
Fanning;John;09111945;332 Lexington Avenue;;10015;NEW YORK;USA;299287387;married;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Fanning John;;USD;Bookstore;098JJ7;04122000;;;active;35654;annual;39;weekly;full time;;;;
Bradley;William;11091956;11 Burton Street;;10015;NEW YORK;USA;287253625;divorced;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Bradley William;;USD;Bookstore;09DD82;11122003;;;active;43372;annual;39;weekly;full time;;;;
Paxton;Robert;09091962;663 Keller Road;;10015;NEW YORK;USA;273777722;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Paxton Robert;;USD;Bookstore;3126621;07282001;;;active;28500;annual;39;weekly;full time;;;;
Powell;Richard;10121977;2992 Linden Street;;10015;NEW YORK;USA;299838901;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Powell Richard;;USD;Bookstore;JJ88D2;02202004;;;active;35000;annual;39;weekly;full time;;;;
Adams;Tommy;12041944;63 Atlantic Avenue;;10015;NEW YORK;USA;299810093;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Adams Tommy;;USD;Bookstore;88337;05121997;;;active;64489;annual;39;weekly;full time;;;;
Hamilton;Alexander;09101972;933 Chelton Avenue;;10015;NEW YORK;USA;209093383;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Hamilton Alexander;;USD;Bookstore;8839H3;07222001;;;active;39922;annual;39;weekly;full time;;;;
Wilson;John;03201955;22 Chelton Avenue;;10015;NEW YORK;USA;281999898;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Wilson John;;USD;Bookstore;87D8Y;01292003;;;active;42239;annual;39;weekly;full time;;;;
Wiesel;Jimmy;09101944;332 Linden Street;;10015;NEW YORK;USA;298833393;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;Wiesel Jimmy;;USD;Bookstore;998Z8D;08202005;;;active;30000;annual;39;weekly;full time;;;;
