Name;FirstName;BirthDate;Address_Line1;Address_Line2;Address_ZipCode;Address_City;Address_Country;Address_State;SSN;MaritalStatus;BirthRank;AttachedToAnOtherSSN;Classifications;BankAccount_Name;BankAccount_EffectiveDate;BankAccount_EndDate;BankAccount_AccountType;BankAccount_Address_Line1;BankAccount_Address_Line2;BankAccount_Address_ZipCode;BankAccount_Address_City;BankAccount_Address_Country;BankAccount_Address_State;BankAccount_AccountHolderName;BankAccount_DepositType;BankAccount_Currency;BankAccount_AccountNumber;BankAccount_RoutingNumber;BankAccount_PrenoteCompleted;BankAccount_Validated;LE;MemberId;HireDate;WorksiteState;TerminationDate;TerminationReason;EmploymentStatus;BaseSalaryAmount;BaseSalaryFrequency;WorkingHours;WorkingHoursDefinedForFrequency;WorkingCategory;SalaryCommissionAmount;SalaryCommissionFrequency;SalaryBonusAmount;SalaryBonusFrequency
Wills;Danny;08121965;8035 Lexington Avenue;;10015;NEW YORK;USA;NY;226482200;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Wills Danny;;USD;;;;TRUE;Bookstore;7736F7;08121988;NY;;;active;30000;annualy;39;weekly;full time;;;;
Steadman;Luke;03241976;35 Lexington Avenue;2A;10015;NEW YORK;USA;NY;298272209;married;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Steadman Luke;;USD;;;;TRUE;Bookstore;8825K1;04121999;NY;;;active;50000;annualy;39;weekly;full time;300;annual;4000;monthly
Fanning;John;09111945;332 Lexington Avenue;;10015;NEW YORK;USA;NY;299287387;married;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Fanning John;;USD;;;;TRUE;Bookstore;098JJ7;04122000;NY;;;active;35654;annualy;39;weekly;full time;;;;
Bradley;William;11091956;11 Burton Street;;10015;NEW YORK;USA;NY;287253625;divorced;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Bradley William;;USD;;;;TRUE;Bookstore;09DD82;11122003;NY;;;active;43372;annualy;39;weekly;full time;;;;
Paxton;Robert;09091962;663 Keller Road;;10015;NEW YORK;USA;NY;273777722;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Paxton Robert;;USD;;;;TRUE;Bookstore;3126621;07282001;NY;;;active;28500;annualy;39;weekly;full time;;;;
Powell;Richard;10121977;2992 Linden Street;;10015;NEW YORK;USA;NY;299838901;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Powell Richard;;USD;;;;TRUE;Bookstore;JJ88D2;02202004;NY;;;active;35000;annualy;39;weekly;full time;;;;
Adams;Tommy;12041944;63 Atlantic Avenue;;10015;NEW YORK;USA;NY;299810093;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Adams Tommy;;USD;;;;TRUE;Bookstore;88337;05121997;NY;;;active;64489;annualy;39;weekly;full time;;;;
Hamilton;Alexander;09101972;933 Chelton Avenue;;10015;NEW YORK;USA;NY;209093383;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Hamilton Alexander;;USD;;;;TRUE;Bookstore;8839H3;07222001;NY;;;active;39922;annualy;39;weekly;full time;;;;
Wilson;John;03201955;22 Chelton Avenue;;10015;NEW YORK;USA;NY;281999898;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Wilson John;;USD;;;;TRUE;Bookstore;87D8Y;01292003;NY;;;active;42239;annualy;39;weekly;full time;;;;
Wiesel;Jimmy;09101944;332 Linden Street;;10015;NEW YORK;USA;NY;298833393;single;1;False;Non smoker;Bank of America;01011990;;C;589 Broadway;;10012;NEW YORK;USA;NY;Wiesel Jimmy;;USD;;;;TRUE;Bookstore;998Z8D;08202005;NY;;;active;30000;annualy;39;weekly;full time;;;;
