Date;EmployerName;DependentRelationship;EmployeeID;PersonLegalID;FamilyName;GivenName;MiddleName;Gender;MaritalStatus;BirthDate;Address;CityName;PostalCode;Country;CountrySubDivision;Citizenship;EmploymentStatus;WorkStatus;Duration;JobTitle;DepartmentName;OrganizationName;WorkLocation;HireDate;BasicCoverageLevelAmount_part1;BasicCoverageLevelAmount_part2;BasicADDCoverageLevelAmount_part1;BasicADDCoverageLevelAmount_part2;HasLTDAmount;LTDCoverageLevelAmount;HasSTDAmount;STDCoverageLevelAmount;AnnualSalary;HourlyPayRate;AnnualCommissions;AnnualBonuses;HasSocialSecurityParticipation;HasPublicPensionParticipation;Remarks
05/30/2012;AADarrett Yann;E;60000001;637267171;AAAAPersonA;PrenomA;MiddleA;Male;Married;11/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;FALSE;;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AADarrett Femme;S;60000001;637267181;AAAAPersonA;PrenomAFemme;MiddleAFemme;Female;Married;11/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;;;;Instit;;;;;100000;;;;;;TRUE;2349,89;;;;;;;None
05/30/2012;AADarrett Child;C;60000001;637267182;AAAAPersonA;PrenomAEnfant;MiddleAEnfant;Male;Single;11/08/2005;45 Bib 1 Dome;New York;10015;US;NY;US;;;;;;;;;;;;;;;;;;;;;;;None
05/30/2012;AAAAPerson2;E;60000002;637267172;AAAAPersonB;PrenomB;MiddleB;Female;Divorced;12/08/1930;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson3;E;60000003;637267173;AAAAPersonC;PrenomC;MiddleC;Male;Single;01/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson4;E;60000004;637267174;AAAAPersonD;PrenomD;MiddleD;Female;Alone;02/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson5;E;60000005;637267175;AAAAPersonE;PrenomE;MiddleE;Male;Married;03/08/1980;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson6;E;60000006;637267176;AAAAPersonF;PrenomF;MiddleF;Female;Divorced;04/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson7;E;60000007;637267177;AAAAPersonG;PrenomG;MiddleG;Male;Single;05/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson8;E;60000008;637267178;AAAAPersonH;PrenomH;MiddleH;Female;Alone;06/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson9;E;60000009;637267179;AAAAPersonI;PrenomI;MiddleI;Male;Married;07/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson10;E;60000010;637267180;AAAAPersonJ;PrenomJ;MiddleJ;Female;Divorced;08/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson12;E;60000012;637267182;AAAAPersonL;PrenomL;MiddleL;Female;Alone;10/08/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson13;E;60000013;637267183;AAAAPersonM;PrenomM;MiddleM;Male;Married;11/02/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson14;E;60000014;637267184;AAAAPersonN;PrenomN;MiddleN;Female;Divorced;11/03/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson15;E;60000015;637267185;AAAAPersonO;PrenomP;MiddleO;Male;Single;11/04/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson16;E;60000016;637267186;AAAAPersonP;PrenomP;MiddleP;Female;Alone;11/05/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
05/30/2012;AAAAPerson17;E;60000017;637267187;AAAAPersonQ;PrenomQ;MiddleQ;Male;Married;11/06/1950;45 Bib 1 Dome;New York;10015;US;NY;US;Active;Full time;45;Doctor;Chirugical;Princeton Hospital;New York;10/10/2010;50000;;;;TRUE;4532,9;TRUE;2349,89;345000;;12000;55000;TRUE;FALSE;None
