Identifier	Person_Name	Person_FirstName	Person_SSN	Person_BirthDate	Person_MaritalStatus	Person_Classifications	Person_Address_Line1	Person_Address_Line2	Person_Address_ZipCode	Person_Address_City	Person_Address_Country	Person_Address_State	Person_BirthRank	Person_AttachedToAnOtherSSN	Person_Gender	BankAccount_Name	BankAccount_EffectiveDate	BankAccount_EndDate	BankAccount_AccountType	BankAccount_Address_Line1	BankAccount_Address_Line2	BankAccount_Address_ZipCode	BankAccount_Address_City	BankAccount_Address_Country	BankAccount_Address_State	BankAccount_AccountHolderName	BankAccount_DepositType	BankAccount_Currency	BankAccount_AccountNumber	BankAccount_RoutingNumber	BankAccount_PrenoteCompleted	BankAccount_Validated	LegalEntityId	HireDate	TerminationDate	TerminationReason	EmployeeInformationEffectiveDate	EmploymentStatus	BaseSalaryAmount	BaseSalaryFrequency	WorkingHours	WorkingHoursDefinedForFrequency	WorkingCategory	SalaryCommissionAmount	SalaryCommissionFrequency	SalaryBonusAmount	SalaryBonusFrequency	WorksiteState	Dummy	Dummy2	
351860679	Crason	Kate	572646774	08/20/1965	Single	Non smoker,	5613 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	9422 Lexington Avenue		10015	NEW YORK	USA	NY	Crason	NA	USD	000140867136737	091000019			000000000C	09/03/2007			09/03/2007	Active	48573	Annually	40	Weekly	Full time	0		0			0	0
351860688	Irwmaran	William	285456314	11/02/1962	Single	Smoker,Non smoker,	4821 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	9148 Lexington Avenue		10015	NEW YORK	USA	NY	Irwmaran	NA	USD	000140867191207	091000019			000000000C	04/14/2007			04/14/2007	Active	32325	Annually	40	Weekly	Full time	0		0			0	0
351860696	Essura	Julia	777258462	11/04/1962	Single	Non smoker,Smoker,Non smoker,	3968 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	7295 Lexington Avenue		10015	NEW YORK	USA	NY	Essura	NA	USD	000140867150646	091000019			000000000C	12/11/2007			12/11/2007	Active	45730	Annually	40	Weekly	Full time	0		0			0	0
351860703	Cramanran	William	371623541	05/20/1908	Single	Smoker,Non smoker,Smoker,Non smoker,	3722 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	3885 Lexington Avenue		10015	NEW YORK	USA	NY	Cramanran	NA	USD	000140867104113	091000019			000000000C	03/30/2007			03/30/2007	Active	45501	Annually	40	Weekly	Full time	0		0			0	0
351860711	Ewinsurame	Pedro	886277217	01/19/1962	Single	Smoker,Smoker,Non smoker,Smoker,Non smoker,	8741 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	5563 Lexington Avenue		10015	NEW YORK	USA	NY	Ewinsurame	NA	USD	000140867166143	091000019			000000000C	09/25/2007			09/25/2007	Active	42732	Annually	40	Weekly	Full time	0		0			0	0
351860719	Craranme	Pedro	717368316	01/16/1968	Single	Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	7131 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	2352 Lexington Avenue		10015	NEW YORK	USA	NY	Craranme	NA	USD	000140867180657	091000019			000000000C	06/20/2007			06/20/2007	Active	41605	Annually	40	Weekly	Full time	0		0			0	0
351860726	Alstneuvenran	Kate	864361581	02/13/1968	Single	Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	293 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	4687 Lexington Avenue		10015	NEW YORK	USA	NY	Alstneuvenran	NA	USD	000140867127577	091000019			000000000C	10/05/2007			10/05/2007	Active	31072	Annually	40	Weekly	Full time	0		0			0	0
351860733	Lomesura	Tom	752478183	01/22/1963	Single	Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	2608 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	7713 Lexington Avenue		10015	NEW YORK	USA	NY	Lomesura	NA	USD	000140867108953	091000019			000000000C	12/13/2007			12/13/2007	Active	40679	Annually	40	Weekly	Full time	0		0			0	0
351860741	Irwsuralilo	Tom	621276382	05/09/1975	Single	Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	7411 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	1424 Lexington Avenue		10015	NEW YORK	USA	NY	Irwsuralilo	NA	USD	000140867137087	091000019			000000000C	12/25/2006			12/25/2006	Active	46333	Annually	40	Weekly	Full time	0		0			0	0
351860749	Ewinranneuven	Pedro	121332183	02/24/1968	Single	Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	5534 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	7109 Lexington Avenue		10015	NEW YORK	USA	NY	Ewinranneuven	NA	USD	000140867185793	091000019			000000000C	08/01/2007			08/01/2007	Active	32907	Annually	40	Weekly	Full time	0		0			0	0
